education,absences,extrovert,prior_sales,recruit,grammar,first,revenue
HS,5,HIGH,0,WEB,4,277,239
HS,2,HIGH,5,WEB,6,289,362
HS,2,LOW,7,WEB,3,190,287
GED,6,HIGH,4,WEB,8,161,180
HS,5,MED,4,WEB,7,160,298
HS,1,MED,0,WEB,4,187,422
HS,5,MED,0,WEB,4,245,350
GED,3,HIGH,0,FAIR,3,281,402
COL,4,HIGH,2,WEB,7,221,435
HS,2,HIGH,4,WEB,4,144,241
HS,5,MED,2,WEB,5,190,265
GED,1,MED,3,WEB,5,218,391
HS,1,MED,8,WEB,7,256,476
HS,4,MED,5,FAIR,2,294,300
GED,2,LOW,3,WEB,4,193,221
GED,3,MED,13,WEB,4,289,325
HS,5,HIGH,4,WEB,8,201,384
COL,2,HIGH,13,WEB,9,320,455
HS,4,MED,5,REF,6,323,392
HS,2,MED,3,FAIR,7,363,312
HS,3,MED,2,WEB,3,144,150
HS,2,HIGH,8,REF,7,231,341
HS,2,MED,0,REF,7,169,356
HS,3,MED,5,WEB,2,191,265
HS,1,MED,4,WEB,6,219,265
HS,0,LOW,0,FAIR,2,393,190
HS,4,LOW,8,FAIR,3,298,321
HS,2,MED,0,WEB,5,363,335
HS,1,HIGH,3,REF,5,255,374
COL,3,MED,5,FAIR,3,213,340
HS,1,MED,7,FAIR,5,223,293
HS,3,LOW,7,WEB,6,130,361
HS,3,LOW,0,FAIR,6,278,213
HS,2,HIGH,4,WEB,4,303,354
GED,4,LOW,5,WEB,7,135,250
HS,1,MED,4,FAIR,5,186,294
HS,6,MED,7,REF,0,390,370
HS,2,MED,0,WEB,3,225,323
HS,2,HIGH,3,WEB,1,291,446
COL,2,HIGH,0,REF,2,246,657
GED,5,HIGH,3,WEB,8,319,471
GED,3,MED,0,WEB,6,195,358
HS,3,MED,7,WEB,3,292,436
COL,1,MED,7,WEB,5,184,382
COL,3,LOW,4,REF,7,165,364
HS,9,LOW,8,WEB,7,125,192
HS,4,MED,3,WEB,3,196,254
HS,3,LOW,0,FAIR,2,219,192
HS,1,MED,4,WEB,4,229,257
HS,5,MED,5,WEB,6,234,263
COL,4,HIGH,0,WEB,7,190,545
HS,2,MED,7,WEB,3,171,314
HS,3,LOW,0,WEB,8,236,211
HS,3,HIGH,5,WEB,5,133,182
HS,2,MED,3,REF,5,261,426
GED,1,LOW,3,FAIR,4,206,350
HS,1,HIGH,2,FAIR,0,253,355
COL,8,MED,0,WEB,7,223,283
HS,2,HIGH,3,WEB,6,288,481
HS,1,MED,0,WEB,5,214,405
HS,2,HIGH,6,REF,6,332,423
GED,2,MED,3,WEB,6,250,386
HS,0,LOW,4,REF,3,157,167
HS,2,HIGH,6,REF,3,331,383
HS,2,MED,6,REF,4,231,497
COL,2,MED,8,FAIR,6,262,418
GED,2,MED,4,FAIR,3,216,304
HS,4,HIGH,4,WEB,3,169,345
HS,4,MED,0,WEB,5,175,257
HS,2,MED,3,WEB,6,304,304
HS,4,MED,2,FAIR,8,230,345
COL,5,MED,10,WEB,9,234,478
COL,4,MED,0,WEB,8,222,324
HS,6,HIGH,2,WEB,8,248,419
HS,3,HIGH,2,WEB,1,233,315
HS,4,MED,6,WEB,5,174,205
HS,3,MED,7,FAIR,5,151,412
HS,2,MED,0,WEB,7,214,335
COL,6,LOW,8,WEB,1,391,225
COL,4,MED,2,FAIR,4,121,251
HS,4,HIGH,7,FAIR,1,307,577
GED,1,MED,6,WEB,7,145,658
HS,1,MED,5,WEB,6,131,330
GED,3,MED,3,WEB,8,297,338
COL,3,MED,8,FAIR,5,290,325
HS,1,LOW,4,REF,3,193,322
HS,3,MED,7,WEB,9,245,345
HS,1,HIGH,6,FAIR,5,189,1042
COL,0,LOW,4,WEB,6,209,248
HS,2,HIGH,5,WEB,7,348,408
HS,2,MED,4,FAIR,5,123,386
COL,5,LOW,8,FAIR,6,267,389
HS,4,MED,6,WEB,7,211,582
HS,5,HIGH,0,WEB,4,207,249
GED,2,MED,3,WEB,2,177,309
HS,2,MED,0,WEB,8,245,381
HS,1,HIGH,0,WEB,3,202,387
HS,1,MED,3,WEB,1,135,337
HS,4,LOW,6,FAIR,4,218,167
GED,4,HIGH,6,REF,6,132,395
HS,1,MED,8,WEB,7,312,407
COL,1,MED,0,WEB,8,156,388
COL,1,MED,7,REF,4,269,580
GED,4,MED,0,WEB,5,254,334
HS,5,MED,4,WEB,5,137,306
HS,1,MED,4,FAIR,8,193,432
HS,3,MED,0,FAIR,6,342,315
HS,6,MED,4,FAIR,7,196,382
HS,6,HIGH,4,WEB,6,254,312
HS,3,MED,0,WEB,7,204,338
HS,6,MED,0,WEB,7,362,236
HS,1,HIGH,4,REF,6,196,410
COL,0,HIGH,8,FAIR,8,234,446
GED,3,MED,3,REF,5,154,412
HS,1,HIGH,7,WEB,6,203,534
COL,5,MED,3,WEB,5,198,442
HS,5,LOW,0,FAIR,5,275,175
HS,4,MED,7,WEB,10,303,333
HS,4,LOW,3,WEB,2,253,195
HS,3,LOW,0,REF,7,162,352
GED,6,HIGH,0,REF,7,130,288
HS,6,HIGH,6,WEB,6,153,373
COL,3,MED,5,REF,8,224,423
HS,1,HIGH,0,WEB,3,168,363
GED,5,HIGH,5,WEB,6,232,576
HS,6,MED,6,FAIR,3,291,412
HS,4,LOW,5,REF,8,144,424
HS,2,HIGH,0,WEB,7,126,354
HS,2,MED,0,WEB,8,235,421
HS,4,LOW,2,FAIR,3,174,299
HS,10,MED,4,REF,4,274,187
HS,2,MED,5,WEB,0,121,182
HS,4,MED,8,FAIR,4,235,326
HS,3,HIGH,0,WEB,1,135,140
HS,1,MED,5,WEB,4,331,324
HS,3,MED,0,WEB,4,192,272
HS,0,MED,3,FAIR,7,177,317
GED,1,HIGH,0,FAIR,5,349,328
HS,2,MED,8,WEB,7,423,356
HS,0,MED,7,WEB,5,191,347
GED,3,LOW,0,FAIR,6,107,263
COL,1,LOW,7,WEB,7,169,440
GED,5,MED,5,WEB,7,232,444
HS,2,MED,6,FAIR,8,267,440
COL,3,HIGH,5,WEB,8,309,589
GED,2,HIGH,4,WEB,1,248,322
HS,5,LOW,0,REF,4,230,231
HS,5,LOW,6,WEB,4,175,291
HS,2,MED,4,REF,6,184,418
HS,3,HIGH,6,WEB,7,219,339
HS,5,MED,4,WEB,7,315,259
COL,5,MED,7,REF,7,138,291
HS,6,LOW,4,WEB,6,223,230
HS,2,HIGH,0,WEB,5,204,316
HS,3,MED,2,REF,2,279,308
HS,4,MED,8,FAIR,0,175,295
GED,7,HIGH,4,WEB,5,250,327
HS,4,MED,6,REF,5,239,435
COL,6,MED,0,WEB,8,291,175
GED,5,HIGH,5,WEB,7,360,433
GED,1,MED,7,WEB,3,159,439
GED,2,MED,6,WEB,6,270,344
HS,2,LOW,0,WEB,7,276,377
HS,4,LOW,0,FAIR,1,200,252
HS,4,MED,4,WEB,6,305,381
HS,11,HIGH,2,WEB,2,185,246
HS,4,MED,6,FAIR,7,208,274
HS,1,HIGH,3,FAIR,3,259,409
HS,2,HIGH,0,FAIR,5,260,452
HS,1,MED,6,FAIR,5,238,334
HS,5,LOW,5,WEB,7,327,219
HS,4,HIGH,0,REF,7,176,389
HS,2,MED,0,WEB,7,171,350
HS,2,MED,7,REF,1,234,260
HS,3,MED,0,WEB,6,188,331
COL,2,HIGH,0,WEB,8,226,392
HS,4,MED,3,WEB,8,176,345
HS,0,MED,0,WEB,2,159,182
COL,1,MED,0,WEB,7,391,325
HS,3,MED,4,FAIR,0,282,226
COL,3,MED,4,WEB,7,248,431
HS,5,HIGH,0,FAIR,7,201,165
COL,3,MED,0,FAIR,6,201,467
GED,6,MED,0,WEB,3,214,223
GED,1,HIGH,4,WEB,7,227,357
COL,8,LOW,5,FAIR,6,187,269
HS,3,HIGH,4,WEB,3,156,253
HS,3,HIGH,0,WEB,3,186,325
HS,2,HIGH,0,FAIR,2,226,468
HS,6,MED,0,FAIR,9,141,302
HS,2,HIGH,5,WEB,6,343,744
HS,1,HIGH,0,WEB,7,177,359
COL,6,MED,7,WEB,8,225,389
HS,3,HIGH,4,FAIR,8,262,353
HS,6,MED,8,WEB,2,153,194
HS,3,HIGH,7,WEB,2,129,446
HS,9,HIGH,5,WEB,4,150,316
HS,6,HIGH,5,FAIR,6,175,487
HS,2,HIGH,0,FAIR,7,241,468
HS,0,LOW,0,WEB,6,233,312
HS,7,MED,2,WEB,6,278,220
HS,4,LOW,7,WEB,8,210,380
COL,4,MED,0,FAIR,6,265,208
HS,10,HIGH,3,FAIR,5,290,256
COL,2,LOW,3,FAIR,3,284,267
HS,10,MED,3,WEB,3,320,344
HS,1,LOW,0,REF,4,150,189
HS,1,MED,5,WEB,7,179,301
HS,6,HIGH,5,WEB,9,149,419
HS,3,MED,5,FAIR,3,278,270
HS,3,MED,5,WEB,4,157,308
HS,3,MED,4,FAIR,8,239,201
HS,4,HIGH,0,WEB,5,297,353
HS,1,HIGH,6,WEB,5,261,559
HS,1,LOW,6,FAIR,3,166,264
COL,0,MED,6,REF,4,233,384
HS,1,LOW,6,REF,2,227,279
HS,2,MED,2,WEB,6,388,346
COL,3,MED,3,WEB,6,126,394
COL,3,MED,6,FAIR,7,293,416
HS,2,MED,0,WEB,7,186,391
HS,3,HIGH,4,FAIR,7,225,306
COL,1,HIGH,0,FAIR,8,203,402
HS,4,HIGH,4,WEB,8,373,383
HS,5,MED,7,FAIR,1,156,409
HS,3,LOW,0,REF,3,235,271
HS,5,HIGH,4,REF,7,235,427
HS,2,LOW,4,REF,3,295,230
HS,4,HIGH,5,WEB,3,230,399
GED,6,HIGH,3,WEB,4,192,212
HS,2,MED,3,WEB,6,200,284
HS,4,MED,3,REF,7,347,267
COL,4,LOW,3,FAIR,1,269,216
HS,3,MED,0,WEB,3,157,315
HS,0,HIGH,8,WEB,3,173,276
HS,1,HIGH,2,FAIR,4,186,342
COL,5,LOW,5,WEB,7,215,538
COL,2,MED,0,WEB,3,237,313
COL,1,HIGH,0,REF,5,171,329
HS,5,HIGH,0,FAIR,4,164,368
GED,3,HIGH,6,FAIR,7,332,422
HS,2,MED,4,REF,2,266,262
HS,4,MED,8,FAIR,2,270,294
HS,1,HIGH,0,FAIR,8,195,482
GED,3,MED,1,FAIR,7,203,372
HS,4,MED,3,WEB,6,150,297
HS,2,LOW,13,FAIR,6,241,193
HS,4,HIGH,5,FAIR,6,130,566
GED,5,HIGH,3,WEB,8,232,427
GED,3,MED,5,REF,7,213,503
HS,4,LOW,4,REF,0,253,223
HS,2,MED,3,FAIR,6,158,402
HS,6,MED,5,REF,5,235,261
HS,5,HIGH,7,WEB,7,136,252
HS,2,MED,0,FAIR,2,319,227
COL,5,HIGH,4,FAIR,7,120,290
HS,3,MED,7,WEB,3,345,359
HS,4,MED,10,FAIR,5,183,249
HS,6,LOW,11,WEB,7,195,319
HS,1,MED,0,WEB,6,192,277
HS,2,LOW,0,REF,6,219,424
HS,2,HIGH,5,FAIR,4,148,495
HS,2,HIGH,7,WEB,2,128,453
HS,4,MED,4,REF,8,234,411
COL,1,MED,5,WEB,9,161,465
COL,4,HIGH,6,REF,6,248,516
HS,3,MED,5,WEB,5,263,425
HS,3,MED,3,WEB,9,104,321
GED,5,HIGH,0,FAIR,5,326,525
HS,3,MED,6,WEB,5,338,370
HS,2,HIGH,4,WEB,7,165,356
GED,4,HIGH,7,WEB,5,167,365
HS,1,MED,4,REF,7,274,457
COL,5,LOW,5,WEB,6,182,217
GED,1,HIGH,0,WEB,5,235,363
HS,4,MED,14,REF,5,278,424
HS,5,LOW,6,WEB,7,139,215
COL,5,MED,6,REF,8,240,405
GED,3,MED,4,REF,8,256,378
COL,1,LOW,7,WEB,2,180,315
COL,3,MED,0,REF,5,275,219
COL,1,HIGH,7,FAIR,5,115,702
HS,4,HIGH,5,FAIR,8,203,733
COL,1,LOW,6,WEB,6,158,428
HS,1,HIGH,2,WEB,5,185,364
HS,1,MED,8,FAIR,8,312,537
GED,1,MED,3,WEB,3,172,301
HS,1,MED,6,WEB,6,222,307
HS,2,HIGH,4,WEB,7,435,419
HS,4,HIGH,14,WEB,7,309,537
GED,2,MED,2,WEB,3,148,417
HS,2,HIGH,3,WEB,4,137,417
HS,9,MED,4,WEB,0,155,209
HS,3,MED,4,FAIR,5,112,427
HS,3,MED,6,WEB,6,240,463
HS,3,LOW,4,REF,8,202,384
HS,3,MED,0,WEB,6,239,351
HS,2,LOW,3,WEB,2,261,160
COL,5,MED,0,FAIR,6,262,304
COL,1,MED,0,WEB,6,214,312
HS,0,MED,4,FAIR,6,230,372
HS,1,MED,3,WEB,7,148,289
COL,2,LOW,5,FAIR,5,176,351
HS,2,MED,8,FAIR,8,112,463
COL,1,MED,6,FAIR,7,179,332
HS,2,MED,6,FAIR,1,272,295
HS,3,MED,7,FAIR,8,143,451
HS,1,HIGH,15,FAIR,8,255,415
HS,1,HIGH,4,WEB,5,290,410
HS,3,LOW,0,REF,7,184,229
HS,2,MED,5,WEB,4,169,323
HS,1,MED,0,WEB,2,222,322
HS,3,LOW,6,REF,4,233,240
HS,1,LOW,6,WEB,7,175,255
HS,5,LOW,0,WEB,3,390,336
HS,2,HIGH,3,REF,4,186,351
COL,1,LOW,0,WEB,8,351,285
HS,4,MED,15,WEB,5,177,262
HS,3,MED,7,REF,6,197,323
HS,5,MED,4,WEB,3,165,280
HS,5,MED,3,FAIR,2,288,156
HS,1,HIGH,5,WEB,1,136,187
GED,1,MED,5,FAIR,2,198,248
HS,3,MED,8,FAIR,6,188,498
GED,2,LOW,8,WEB,6,182,333
GED,6,MED,5,FAIR,7,226,228
GED,7,MED,7,FAIR,6,237,308
HS,3,MED,0,FAIR,6,192,340
HS,4,LOW,4,WEB,7,351,211
HS,5,LOW,15,FAIR,8,222,466
HS,5,MED,8,WEB,4,297,416
HS,3,HIGH,4,WEB,7,277,437
HS,3,MED,6,WEB,1,364,341
HS,1,MED,4,WEB,4,254,343
HS,4,MED,3,WEB,4,336,363
HS,7,HIGH,9,REF,5,340,455
HS,3,LOW,0,WEB,7,344,191
HS,2,LOW,3,FAIR,5,194,216
HS,3,MED,4,WEB,4,184,341
HS,3,MED,4,REF,3,253,304
GED,2,HIGH,4,FAIR,7,269,310
HS,1,MED,0,FAIR,6,343,430
HS,3,HIGH,0,REF,8,336,463
HS,5,HIGH,0,FAIR,4,201,397
HS,1,HIGH,5,WEB,4,328,536
HS,1,LOW,3,WEB,9,156,236
COL,4,HIGH,4,WEB,6,344,421
HS,3,HIGH,4,FAIR,7,279,368
HS,6,MED,5,WEB,5,252,270
COL,8,HIGH,15,FAIR,4,136,332
HS,3,HIGH,8,WEB,5,165,399
HS,1,MED,6,FAIR,5,220,656
HS,1,HIGH,7,REF,5,286,408
COL,2,MED,4,WEB,0,254,298
HS,1,MED,3,FAIR,10,385,403
HS,2,MED,2,WEB,7,299,343
COL,3,HIGH,4,WEB,8,275,410
GED,3,MED,7,FAIR,5,115,439
HS,1,HIGH,8,WEB,7,229,533
HS,6,HIGH,4,FAIR,8,177,304
GED,3,HIGH,0,REF,3,158,285
HS,2,MED,6,WEB,8,230,454
HS,1,HIGH,4,WEB,5,344,547
HS,2,MED,0,WEB,6,122,195
HS,1,HIGH,8,WEB,4,126,596
HS,3,LOW,2,WEB,8,225,321
GED,10,MED,2,REF,4,178,249
HS,3,MED,2,WEB,4,256,325
GED,4,MED,5,WEB,7,200,270
COL,2,MED,0,FAIR,5,229,435
HS,3,HIGH,14,WEB,8,268,403
HS,2,MED,4,REF,3,211,392
HS,3,MED,0,FAIR,4,145,375
COL,5,MED,3,FAIR,7,182,294
GED,1,MED,6,WEB,6,247,625
COL,1,MED,0,WEB,5,150,518
HS,11,HIGH,4,REF,5,211,249
HS,3,HIGH,6,FAIR,5,259,749
GED,1,MED,7,WEB,6,240,332
HS,4,LOW,6,WEB,6,147,414
COL,5,MED,4,FAIR,8,181,219
HS,3,LOW,3,WEB,7,180,287
GED,4,MED,5,WEB,8,183,328
HS,4,LOW,4,FAIR,5,251,241
GED,3,HIGH,6,WEB,8,139,455
COL,4,MED,7,FAIR,4,292,410
HS,6,HIGH,2,REF,4,190,246
HS,6,HIGH,5,WEB,7,207,340
HS,3,MED,0,WEB,7,170,274
GED,1,MED,3,WEB,4,313,343
GED,1,HIGH,4,WEB,7,301,533
COL,3,MED,8,WEB,6,191,349
HS,3,MED,5,WEB,6,140,254
GED,4,HIGH,15,WEB,1,250,276
HS,4,MED,7,WEB,5,213,286
HS,3,LOW,7,REF,6,316,353
HS,1,MED,0,WEB,2,259,270
COL,1,MED,6,WEB,8,136,646
HS,6,HIGH,2,WEB,7,151,248
HS,4,HIGH,3,WEB,2,294,388
HS,2,MED,3,WEB,8,245,458
GED,4,LOW,5,FAIR,5,190,267
HS,7,MED,4,REF,2,346,337
HS,6,MED,4,WEB,2,253,328
HS,5,HIGH,5,FAIR,7,133,155
HS,2,LOW,4,FAIR,3,207,227
GED,1,MED,3,FAIR,4,177,384
HS,3,LOW,3,REF,4,187,445
GED,5,HIGH,0,WEB,3,300,367
HS,2,HIGH,0,WEB,4,137,375
COL,3,LOW,11,WEB,5,335,461
GED,2,MED,0,WEB,1,195,283
HS,5,MED,0,REF,2,367,240
HS,2,MED,0,REF,7,286,332
GED,1,HIGH,5,FAIR,6,220,349
HS,10,MED,7,REF,3,233,500
HS,5,HIGH,6,FAIR,4,169,410
HS,1,MED,3,WEB,9,194,338
HS,6,MED,6,REF,2,254,456
HS,1,MED,8,WEB,4,225,531
COL,4,MED,0,WEB,6,130,263
HS,2,HIGH,6,WEB,7,199,498
HS,7,MED,0,REF,8,191,303
HS,2,HIGH,0,WEB,0,230,320
HS,1,HIGH,0,WEB,7,144,420
HS,5,MED,0,FAIR,5,179,307
HS,6,LOW,4,WEB,8,217,181
GED,2,MED,0,FAIR,6,187,285
HS,2,MED,8,WEB,3,377,390
COL,5,MED,8,WEB,6,312,407
HS,1,HIGH,0,WEB,7,347,492
COL,1,MED,2,REF,9,421,492
GED,3,MED,6,WEB,3,186,219
HS,4,MED,6,FAIR,7,200,437
GED,3,HIGH,5,REF,7,239,903
GED,5,MED,5,FAIR,3,193,283
COL,5,MED,3,WEB,7,225,380
COL,2,LOW,5,WEB,6,193,224
HS,3,MED,8,WEB,7,180,386
HS,6,LOW,2,WEB,6,179,242
HS,7,MED,7,FAIR,6,220,314
GED,7,HIGH,0,WEB,5,185,445
HS,1,HIGH,5,REF,7,214,440
HS,1,HIGH,2,WEB,3,153,307
HS,2,HIGH,0,WEB,9,267,455
GED,2,HIGH,0,FAIR,2,246,288
HS,10,MED,2,WEB,3,448,425
HS,2,MED,0,FAIR,6,199,302
GED,4,LOW,3,WEB,7,261,333
HS,1,MED,7,FAIR,6,196,511
HS,3,MED,0,FAIR,3,125,222
HS,2,MED,6,WEB,7,178,307
HS,2,HIGH,0,WEB,3,145,313
HS,0,HIGH,2,FAIR,3,213,588
GED,4,HIGH,6,REF,3,171,623
GED,2,MED,0,WEB,5,193,420
HS,2,LOW,5,WEB,7,162,211
COL,6,LOW,5,FAIR,8,170,324
HS,6,HIGH,7,WEB,5,173,445
COL,1,LOW,7,WEB,7,341,338
HS,2,LOW,0,FAIR,2,213,222
GED,4,MED,3,WEB,3,218,324
HS,4,LOW,3,WEB,4,305,285
HS,5,LOW,7,WEB,9,169,337
HS,1,MED,8,WEB,5,285,288
HS,2,MED,6,WEB,5,249,292
HS,1,HIGH,3,WEB,7,212,322
HS,4,MED,3,FAIR,5,348,695
HS,1,HIGH,0,WEB,7,335,310
HS,5,HIGH,0,REF,3,348,317
HS,2,MED,7,REF,1,381,487
HS,3,LOW,6,WEB,4,230,327
HS,1,HIGH,5,WEB,1,306,367
COL,1,LOW,0,WEB,6,312,364
HS,0,MED,6,FAIR,5,299,364
HS,0,MED,4,REF,8,168,327
HS,4,MED,8,FAIR,6,176,336
HS,5,MED,1,FAIR,3,193,345
HS,6,MED,4,FAIR,5,188,201
HS,4,LOW,0,WEB,2,237,240
HS,3,MED,4,WEB,7,339,364
COL,11,MED,6,FAIR,2,179,256
HS,5,HIGH,3,FAIR,9,336,346
COL,4,MED,2,WEB,7,203,313
HS,3,HIGH,4,WEB,5,134,257
HS,5,MED,0,WEB,6,197,278
HS,2,MED,5,WEB,4,215,498
HS,4,MED,3,WEB,6,317,371
HS,3,HIGH,4,FAIR,7,314,444
HS,5,MED,0,WEB,8,322,206
HS,2,MED,3,WEB,5,235,322
HS,2,HIGH,2,WEB,4,125,433
GED,2,HIGH,6,WEB,5,284,665
HS,3,MED,6,WEB,1,207,206
HS,11,HIGH,8,WEB,3,230,199
